Date,Boys,Girls,
2015-01-01,159,153,
2015-01-02,140,126,
2015-01-03,172,161,
2015-01-04,104,116,
2015-01-05,154,138,
2015-01-06,142,139,
2015-01-07,154,177,
2015-01-08,118,128,
2015-01-09,161,133,
2015-01-10,134,134,
2015-01-11,93,82,
2015-01-12,173,168,
2015-01-13,123,107,
2015-01-14,127,125,
2015-01-15,124,108,
2015-01-16,116,126,
2015-01-17,105,105,
2015-01-18,90,102,
2015-01-19,116,130,
2015-01-20,117,99,
2015-01-21,147,140,
2015-01-22,160,152,
2015-01-23,133,131,
2015-01-24,94,97,
2015-01-25,79,78,
2015-01-26,115,129,
2015-01-27,124,121,
2015-01-28,137,110,
2015-01-29,116,127,
2015-01-30,108,117,
2015-01-31,120,99,
2015-02-01,92,94,
2015-02-02,132,124,
2015-02-03,122,129,
2015-02-04,93,104,
2015-02-05,167,118,
2015-02-06,105,120,
2015-02-07,111,109,
2015-02-08,79,71,
2015-02-09,121,147,
2015-02-10,120,113,
2015-02-11,157,150,
2015-02-12,104,92,
2015-02-13,101,111,
2015-02-14,134,104,
2015-02-15,88,71,
2015-02-16,137,120,
2015-02-17,133,114,
2015-02-18,103,81,
2015-02-19,101,86,
2015-02-20,140,116,
2015-02-21,127,103,
2015-02-22,94,98,
2015-02-23,135,107,
2015-02-24,150,114,
2015-02-25,120,129,
2015-02-26,94,106,
2015-02-27,133,102,
2015-02-28,105,122,
2015-03-01,105,84,
2015-03-02,169,122,
2015-03-03,111,110,
2015-03-04,153,145,
2015-03-05,157,161,
2015-03-06,130,141,
2015-03-07,111,119,
2015-03-08,87,76,
2015-03-09,117,116,
2015-03-10,135,104,
2015-03-11,132,134,
2015-03-12,173,153,
2015-03-13,119,112,
2015-03-14,112,101,
2015-03-15,86,94,
2015-03-16,161,150,
2015-03-17,122,145,
2015-03-18,170,142,
2015-03-19,113,97,
2015-03-20,100,100,
2015-03-21,97,118,
2015-03-22,103,96,
2015-03-23,181,145,
2015-03-24,127,137,
2015-03-25,132,158,
2015-03-26,114,134,
2015-03-27,114,102,
2015-03-28,113,125,
2015-03-29,95,92,
2015-03-30,167,142,
2015-03-31,133,114,
2015-04-01,153,125,
2015-04-02,135,136,
2015-04-03,136,141,
2015-04-04,103,100,
