dateRep,geoId,countriesAndTerritories,cases,deaths
 2020-03-29,I,THIRUVOTTIYUR,0,0
 2020-04-03,I,THIRUVOTTIYUR,2,0
 2020-04-06,I,THIRUVOTTIYUR,3,0
 2020-04-07,I,THIRUVOTTIYUR,4,0
 2020-04-08,I,THIRUVOTTIYUR,4,0
 2020-04-09,I,THIRUVOTTIYUR,4,0
 2020-04-10,I,THIRUVOTTIYUR,4,0
 2020-04-11,I,THIRUVOTTIYUR,4,0
 2020-04-12,I,THIRUVOTTIYUR,4,0
 2020-04-13,I,THIRUVOTTIYUR,4,0
 2020-04-14,I,THIRUVOTTIYUR,4,0
 2020-04-15,I,THIRUVOTTIYUR,4,0
 2020-04-16,I,THIRUVOTTIYUR,4,0
 2020-04-17,I,THIRUVOTTIYUR,5,0
 2020-04-18,I,THIRUVOTTIYUR,5,0
 2020-04-19,I,THIRUVOTTIYUR,5,0
 2020-04-20,I,THIRUVOTTIYUR,9,0
 2020-04-21,I,THIRUVOTTIYUR,12,0
 2020-04-22,I,THIRUVOTTIYUR,13,0
 2020-04-23,I,THIRUVOTTIYUR,13,0
 2020-04-24,I,THIRUVOTTIYUR,13,0
 2020-04-25,I,THIRUVOTTIYUR,14,0
 2020-04-26,I,THIRUVOTTIYUR,14,0
 2020-04-27,I,THIRUVOTTIYUR,15,0
 2020-04-28,I,THIRUVOTTIYUR,15,0
 2020-04-29,I,THIRUVOTTIYUR,16,0
 2020-04-30,I,THIRUVOTTIYUR,16,0
 2020-05-01,I,THIRUVOTTIYUR,19,0
 2020-05-02,I,THIRUVOTTIYUR,20,0
 2020-05-03,I,THIRUVOTTIYUR,22,0
 2020-05-04,I,THIRUVOTTIYUR,29,0
 2020-05-05,I,THIRUVOTTIYUR,32,0
 2020-05-06,I,THIRUVOTTIYUR,40,0
 2020-05-07,I,THIRUVOTTIYUR,43,0
 2020-05-08,I,THIRUVOTTIYUR,45,0
 2020-05-09,I,THIRUVOTTIYUR,64,0
 2020-05-10,I,THIRUVOTTIYUR,84,0
 2020-05-11,I,THIRUVOTTIYUR,98,0
 2020-05-12,I,THIRUVOTTIYUR,118,0
 2020-05-13,I,THIRUVOTTIYUR,120,0
 2020-05-14,I,THIRUVOTTIYUR,127,0
 2020-05-15,I,THIRUVOTTIYUR,133,0
 2020-05-16,I,THIRUVOTTIYUR,137,0
 2020-05-17,I,THIRUVOTTIYUR,147,0
 2020-05-18,I,THIRUVOTTIYUR,161,0
 2020-05-19,I,THIRUVOTTIYUR,182,0
 2020-05-20,I,THIRUVOTTIYUR,221,0
 2020-05-21,I,THIRUVOTTIYUR,228,0
 2020-05-22,I,THIRUVOTTIYUR,250,0
 2020-05-23,I,THIRUVOTTIYUR,274,0
 2020-05-24,I,THIRUVOTTIYUR,300,0
 2020-05-25,I,THIRUVOTTIYUR,322,0
 2020-05-26,I,THIRUVOTTIYUR,344,0
 2020-05-27,I,THIRUVOTTIYUR,369,0
 2020-05-28,I,THIRUVOTTIYUR,377,0
 2020-05-29,I,THIRUVOTTIYUR,414,0
 2020-05-30,I,THIRUVOTTIYUR,439,0
 2020-05-31,I,THIRUVOTTIYUR,484,0
 2020-06-01,I,THIRUVOTTIYUR,534,0
 2020-06-02,I,THIRUVOTTIYUR,559,0
 2020-06-03,I,THIRUVOTTIYUR,610,0
 2020-06-04,I,THIRUVOTTIYUR,670,2
 2020-06-05,I,THIRUVOTTIYUR,731,2
 2020-06-06,I,THIRUVOTTIYUR,784,3
 2020-06-07,I,THIRUVOTTIYUR,813,3
 2020-06-08,I,THIRUVOTTIYUR,870,3
 2020-06-09,I,THIRUVOTTIYUR,934,3
 2020-06-10,I,THIRUVOTTIYUR,972,5
 2020-06-11,I,THIRUVOTTIYUR,1024,6
 2020-06-12,I,THIRUVOTTIYUR,1072,7
 2020-06-13,I,THIRUVOTTIYUR,1113,9
 2020-06-14,I,THIRUVOTTIYUR,1171,11
 2020-06-15,I,THIRUVOTTIYUR,1224,13
 2020-06-16,I,THIRUVOTTIYUR,1258,20
 2020-06-17,I,THIRUVOTTIYUR,1324,23
 2020-06-18,I,THIRUVOTTIYUR,1370,26
 2020-06-19,I,THIRUVOTTIYUR,1434,28
 2020-06-20,I,THIRUVOTTIYUR,1483,28
 2020-06-21,I,THIRUVOTTIYUR,1545,32
 2020-06-22,I,THIRUVOTTIYUR,1587,35
 2020-06-23,I,THIRUVOTTIYUR,1652,37
 2020-06-24,I,THIRUVOTTIYUR,1755,38
 2020-06-25,I,THIRUVOTTIYUR,1787,39
 2020-06-26,I,THIRUVOTTIYUR,1912,42
 2020-06-27,I,THIRUVOTTIYUR,2019,42
 2020-06-28,I,THIRUVOTTIYUR,2123,46
 2020-06-29,I,THIRUVOTTIYUR,2220,48
 2020-06-30,I,THIRUVOTTIYUR,2276,53
 2020-07-01,I,THIRUVOTTIYUR,2329,55
 2020-07-02,I,THIRUVOTTIYUR,2480,57
 2020-07-03,I,THIRUVOTTIYUR,2601,59
 2020-07-04,I,THIRUVOTTIYUR,2643,60
 2020-07-05,I,THIRUVOTTIYUR,2653,61
 2020-07-06,I,THIRUVOTTIYUR,2705,62
 2020-07-07,I,THIRUVOTTIYUR,2792,65
 2020-07-08,I,THIRUVOTTIYUR,2845,65
 2020-03-29,II,MANALI,0,0
 2020-04-03,II,MANALI,0,0
 2020-04-06,II,MANALI,0,0
