DATE,THIRUVOTTIYUR,MANALI,MADHAVARAM,TONDIARPET,ROYAPURAM,THIRU VI KA NAGAR,AMBATTUR,ANNA NAGAR,TEYNAMPET,KODAMBAKKAM,VALASARAVAKKAM,ALANDUR,ADYAR,PERUNGUDI,SOZHINGANALLUR,Other district,Chennai
29-03-2020,0,0,0,0,0,0,0,5,1,5,2,1,1,0,0,0,15
03-04-2020,2,0,0,5,10,1,0,7,4,6,2,1,2,3,1,0,44
06-04-2020,3,0,3,7,27,14,0,14,10,12,4,2,3,4,2,5,110
07-04-2020,4,0,3,12,40,22,0,15,11,19,4,2,4,5,2,6,149
08-04-2020,4,0,3,13,43,22,0,19,11,18,4,2,4,5,2,6,156
09-04-2020,4,0,3,14,45,24,0,17,12,19,4,2,4,6,2,7,163
10-04-2020,4,0,3,14,46,25,0,22,12,20,4,2,4,6,2,8,172
11-04-2020,4,0,3,14,51,25,0,22,14,21,4,2,6,6,2,8,182
12-04-2020,4,0,3,17,63,26,0,22,14,22,4,2,6,6,2,8,199
13-04-2020,4,0,3,17,63,26,0,22,14,22,4,2,6,6,2,5,196
14-04-2020,4,0,3,19,63,28,0,22,15,23,5,2,7,7,2,5,205
15-04-2020,4,0,3,19,63,30,0,22,16,24,5,3,7,7,2,5,210
16-04-2020,4,0,3,20,65,32,0,23,19,24,5,3,7,7,2,3,217
17-04-2020,5,0,3,20,73,33,0,24,19,26,5,3,7,7,2,1,228
18-04-2020,5,0,3,26,73,34,0,24,19,26,5,3,7,7,2,1,235
19-04-2020,5,0,3,30,91,38,0,26,36,29,5,5,7,7,2,1,285
20-04-2020,9,0,3,37,92,39,0,27,38,31,5,5,7,7,2,1,303
21-04-2020,12,0,3,46,116,42,1,27,42,35,9,7,7,8,2,1,358
22-04-2020,13,1,3,46,117,45,1,32,44,36,10,7,7,8,2,1,373
23-04-2020,13,1,3,56,118,49,1,35,45,36,13,9,10,8,2,1,400
24-04-2020,13,1,3,59,133,55,1,39,53,52,13,9,10,8,2,1,452
25-04-2020,14,1,3,64,137,80,2,43,54,53,14,9,10,8,2,1,495
26-04-2020,14,1,3,65,145,85,2,45,55,54,17,9,17,8,2,1,523
27-04-2020,15,1,3,66,158,94,15,53,56,54,17,9,17,9,2,1,570
28-04-2020,15,1,4,70,164,128,19,65,81,60,26,9,19,9,2,1,673
29-04-2020,16,1,4,77,189,169,20,73,85,63,30,9,19,9,2,1,767
30-04-2020,16,2,4,77,199,210,27,86,105,97,40,9,20,9,3,2,906
01-05-2020,19,3,4,101,216,259,33,91,132,116,60,9,21,9,3,6,1082
02-05-2020,20,5,8,110,252,290,42,108,145,141,77,10,27,10,5,7,1257
03-05-2020,22,5,9,118,275,324,58,130,166,199,92,10,29,10,6,5,1458
