Date,Zone_No,Zone_Name,Confirmed_cases,Recovered,Hospitalized,Deceased
 2020-03-29,I,THIRUVOTTIYUR,0,0,0,0
 2020-03-29,II,MANALI,0,0,0,0
 2020-03-29,III,MADHAVARAM,0,0,0,0
 2020-03-29,IV,TONDIARPET,0,0,0,0
 2020-03-29,V,ROYAPURAM,0,0,0,0
 2020-03-29,VI,THIRU VI KA NAGAR,0,0,0,0
 2020-03-29,VII,AMBATTUR,0,0,0,0
 2020-03-29,VIII,ANNA NAGAR,5,0,5,0
 2020-03-29,IX,TEYNAMPET,1,0,1,0
 2020-03-29,X,KODAMBAKKAM,5,0,5,0
 2020-03-29,XI,VALASARAVAKKAM,2,0,2,0
 2020-03-29,XII,ALANDUR,1,0,1,0
 2020-03-29,XIII,ADYAR,1,0,1,0
 2020-03-29,XIV,PERUNGUDI,0,0,0,0
 2020-03-29,XV,SOZHINGANALLUR,0,0,0,0
 2020-04-03,I,THIRUVOTTIYUR,2,0,2,0
 2020-04-03,II,MANALI,0,0,0,0
 2020-04-03,III,MADHAVARAM,0,0,0,0
 2020-04-03,IV,TONDIARPET,5,0,5,0
 2020-04-03,V,ROYAPURAM,10,0,10,0
 2020-04-03,VI,THIRU VI KA NAGAR,1,0,1,0
 2020-04-03,VII,AMBATTUR,0,0,0,0
 2020-04-03,VIII,ANNA NAGAR,7,0,7,0
 2020-04-03,IX,TEYNAMPET,4,0,4,0
 2020-04-03,X,KODAMBAKKAM,6,0,6,0
 2020-04-03,XI,VALASARAVAKKAM,2,0,2,0
 2020-04-03,XII,ALANDUR,1,0,1,0
 2020-04-03,XIII,ADYAR,2,0,2,0
 2020-04-03,XIV,PERUNGUDI,3,0,3,0
 2020-04-03,XV,SOZHINGANALLUR,1,0,1,0
 2020-04-06,I,THIRUVOTTIYUR,3,0,3,0
 2020-04-06,II,MANALI,0,0,0,0
 2020-04-06,III,MADHAVARAM,3,0,3,0
 2020-04-06,IV,TONDIARPET,7,0,7,0
 2020-04-06,V,ROYAPURAM,27,0,27,0
 2020-04-06,VI,THIRU VI KA NAGAR,14,0,14,0
 2020-04-06,VII,AMBATTUR,0,0,0,0
 2020-04-06,VIII,ANNA NAGAR,14,0,14,0
 2020-04-06,IX,TEYNAMPET,10,0,10,0
 2020-04-06,X,KODAMBAKKAM,12,0,12,0
 2020-04-06,XI,VALASARAVAKKAM,4,0,4,0
 2020-04-06,XII,ALANDUR,2,0,2,0
 2020-04-06,XIII,ADYAR,3,0,3,0
 2020-04-06,XIV,PERUNGUDI,4,0,4,0
 2020-04-06,XV,SOZHINGANALLUR,2,0,2,0
 2020-04-07,I,THIRUVOTTIYUR,4,0,4,0
 2020-04-07,II,MANALI,0,0,0,0
 2020-04-07,III,MADHAVARAM,3,0,3,0
 2020-04-07,IV,TONDIARPET,12,0,12,0
 2020-04-07,V,ROYAPURAM,40,0,40,0
 2020-04-07,VI,THIRU VI KA NAGAR,22,0,22,0
 2020-04-07,VII,AMBATTUR,0,0,0,0
 2020-04-07,VIII,ANNA NAGAR,15,0,15,0
 2020-04-07,IX,TEYNAMPET,11,0,11,0
 2020-04-07,X,KODAMBAKKAM,19,0,19,0
 2020-04-07,XI,VALASARAVAKKAM,4,0,4,0
